1652019172.080383,360,-481,95,15877,2560,-116,-7238,-12287,-2220
1652019172.149147,-44,-338,276,16013,2620,145,-7244,-12284,-2120
1652019172.217896,68,-271,313,16039,2798,157,-7246,-12291,-2191
1652019172.286673,-184,-482,369,16694,3116,824,-7234,-12315,-2216
1652019172.355452,823,-394,462,16280,2620,93,-7255,-12316,-2157
1652019172.424230,2398,391,692,17262,2329,1426,-7239,-12315,-2146
1652019172.493016,3640,1073,973,16594,1881,818,-7239,-12339,-2109
1652019172.561788,4655,1054,716,17315,4028,429,-7223,-12287,-2102
1652019172.630613,4982,1244,1081,16992,4764,-26,-7183,-12251,-2045
1652019172.699465,7993,3171,2642,16977,4837,-135,-7145,-12283,-1993
1652019172.768253,11086,5386,4099,16110,4134,-1031,-7116,-12250,-1782
1652019172.837028,9788,6004,4356,16430,5988,-357,-7069,-12325,-1496
1652019172.905810,9286,5879,4295,15698,6341,-992,-7070,-12360,-1386
1652019172.974597,9571,5397,4243,15040,7560,-1754,-7027,-12448,-1292
1652019173.043377,9822,5847,4658,13857,9325,-1587,-7057,-12611,-1066
1652019173.112171,13055,7987,6161,12423,11708,-2185,-7095,-12775,-846
1652019173.181010,15006,8872,8096,12349,10198,-1320,-7120,-12952,-781
1652019173.249781,16474,10632,9983,10191,11753,-1310,-7358,-13399,-681
1652019173.318560,16019,11476,9923,9645,13972,1951,-7519,-13643,-650
1652019173.387345,14688,11095,11157,7936,14247,2123,-7699,-13836,-722
1652019173.456123,14577,10659,12820,7546,16429,5895,-8162,-14315,-931
1652019173.524906,12876,10596,15290,5471,16261,7957,-8479,-14472,-1078
1652019173.593688,13651,9736,17844,5398,14346,13351,-8918,-14639,-1452
1652019173.662471,13434,7043,17494,248,12373,11434,-9680,-14699,-2059
1652019173.731253,8690,3273,16938,-1204,12252,12630,-10030,-14633,-2287
1652019173.800040,7151,516,15002,-4712,10320,11314,-10359,-14514,-2464
1652019173.868821,7152,-1927,14193,-5552,7904,12359,-10986,-14176,-2761
1652019173.937606,8070,-4172,11435,-7272,5796,12532,-11266,-13946,-2985
1652019174.006493,6562,-3813,9142,-8114,3345,11945,-11460,-13749,-3023
1652019174.075171,5519,-3278,6828,-7755,1812,12624,-11777,-13407,-3105
1652019174.143990,5850,-4292,3982,-6365,4956,14259,-11809,-13244,-3078
1652019174.212761,5656,-4597,2564,-10067,-172,11574,-11938,-13153,-3094
1652019174.281553,1634,-4864,931,-10915,-1962,12257,-12015,-13000,-2967
1652019174.350302,1543,-4575,751,-10489,2618,10570,-12106,-12968,-2890
1652019174.419079,-291,-5567,-167,-10859,-585,12964,-12191,-12960,-2548
1652019174.487862,-445,-5523,-984,-14125,3766,8811,-12212,-13007,-2446
1652019174.556662,-2047,-4242,21,-14475,3029,9161,-12281,-13021,-2355
1652019174.625427,-948,-2589,-672,-13777,2445,10670,-12283,-13021,-2216
1652019174.694210,-3364,-3334,-871,-14444,2842,7853,-12242,-13084,-2091
1652019174.762999,-3237,-3668,-1761,-14110,3847,7735,-12320,-13112,-1936
1652019174.831774,-2441,-2613,-2296,-14255,6756,6513,-12245,-13186,-1743
1652019174.900557,-2129,-1739,-615,-14303,4322,5012,-12265,-13220,-1690
1652019174.969341,-3336,367,367,-13744,4165,7168,-12216,-13243,-1698
1652019175.038125,-2570,1247,-229,-12643,5479,9378,-12184,-13191,-1619
1652019175.106905,-4419,302,499,-15668,3493,3783,-12252,-13210,-1459
1652019175.175714,-4777,-2222,-1114,-13859,3498,5115,-12238,-13209,-1333
1652019175.244456,-4932,-4474,-2495,-12233,5061,5135,-12168,-13280,-1025
1652019175.313238,-5140,-5415,-3505,-15505,6020,-585,-12105,-13374,-800
1652019175.382053,-6053,-4153,-1878,-12963,8077,1954,-12022,-13380,-561
1652019175.450821,-5520,-4488,-2662,-14918,8533,-1171,-11910,-13408,-259
1652019175.519602,-4430,-2358,-2838,-13904,7516,-1233,-11891,-13376,-127
1652019175.588393,-6002,-1819,-1758,-11360,9739,1208,-11840,-13395,24
1652019175.657171,-6008,-2254,-607,-12372,11332,-1459,-11834,-13285,294
1652019175.725947,-3961,-2748,332,-13805,4668,579,-11803,-13203,415
1652019175.794687,-3431,-4362,2340,-12389,8324,-2395,-11788,-13164,478
1652019175.863467,-4967,-6717,2127,-13626,5893,-3907,-11653,-12920,912
1652019175.932246,-4514,-9212,3684,-9824,6475,-5375,-11565,-12802,1205
1652019176.001032,-5218,-10272,5529,-8796,5184,-7759,-11485,-12620,1416
1652019176.069813,-4801,-12289,9012,-10289,1094,-7892,-11153,-12262,1862
1652019176.138601,-2933,-9917,7986,-7732,-943,-8468,-11036,-12111,1968
1652019176.207384,-3114,-10288,6827,-8220,-1143,-10508,-10804,-11990,2121
1652019176.276159,-2836,-11791,4921,-7837,-3900,-13695,-10352,-11800,2381
1652019176.344943,-1789,-12009,3390,-6242,-2216,-12959,-10114,-11786,2408
1652019176.413722,-1557,-12049,3090,-4706,-2917,-15670,-9571,-11818,2409
1652019176.482509,660,-12602,1490,-1815,-1679,-15894,-9312,-11821,2343
1652019176.551346,1138,-12824,863,538,72,-17207,-9039,-11905,2357
1652019176.620120,2118,-12916,606,5903,-2487,-16479,-8565,-12056,1982
1652019176.688908,224,-13298,175,6228,2044,-14993,-8338,-12090,1818
1652019176.757687,141,-14315,1395,8193,-319,-15142,-8083,-12155,1671
1652019176.826498,1202,-14833,363,9985,140,-14131,-7694,-12320,1112
1652019176.895253,1596,-13507,663,11115,171,-14409,-7559,-12372,854
1652019176.964040,781,-12070,350,13694,-622,-12508,-7424,-12408,604
1652019177.032816,-231,-10440,23,15821,-209,-10076,-7268,-12492,188
1652019177.101601,-728,-10405,-20,16224,-203,-9252,-7180,-12501,-98
1652019177.170400,-1270,-9825,-366,16588,-421,-9511,-7171,-12566,-327
1652019177.239166,-1315,-8786,-421,16206,-792,-7661,-7099,-12601,-677
1652019177.307952,-2551,-6792,-528,17786,925,-3937,-7098,-12593,-789
1652019177.376731,-683,-6508,-341,16702,1420,-4438,-7079,-12585,-931
1652019177.445512,1462,-7149,1667,16474,-395,-4341,-7086,-12706,-1308
1652019177.514293,5474,-6053,745,16478,562,-3050,-7109,-12687,-1483
1652019177.583079,4920,-2461,1842,20135,-1514,-3174,-7119,-12742,-1534
1652019177.651859,3622,-3657,-18,17912,5443,-4824,-7127,-12676,-1751
1652019177.720641,4923,-2164,-2410,16577,3297,-4169,-7148,-12591,-1802
1652019177.789430,11412,-1299,-2903,16508,344,-3561,-7157,-12470,-1896
1652019177.858207,8560,959,-1730,17159,-91,-2792,-7148,-12262,-1922
1652019177.926988,5009,1370,-1238,16531,1031,-1776,-7106,-12173,-1831
1652019177.995775,4609,1887,-396,16608,-2101,-1182,-7122,-12202,-1793
1652019178.064553,3173,1472,-583,17167,-644,-86,-7120,-12100,-1717
1652019178.133339,2156,384,-1148,16084,-906,-1596,-7089,-12069,-1697
1652019178.202138,2259,-832,-1572,16601,-513,-1522,-7104,-12056,-1723
1652019178.270902,1591,-994,-998,15891,-1009,-1515,-7108,-11972,-1715
1652019178.339683,1535,-1309,-1077,15600,-361,-2620,-7156,-11961,-1808
1652019178.408463,1560,-1278,-966,16255,-804,-1948,-7137,-11886,-1839
1652019178.477248,1453,-686,-883,17001,-1808,-1355,-7125,-11846,-1832
1652019178.546028,1280,-773,-785,16205,-570,-1533,-7123,-11790,-1848
1652019178.614809,1373,-737,-750,16021,-920,-1528,-7145,-11793,-1885
1652019178.683595,780,-726,-484,16625,-717,-755,-7144,-11778,-1858
1652019178.752378,661,-565,-247,16096,-1164,-1486,-7101,-11797,-1924
1652019178.821161,478,-338,-29,16309,-1325,-825,-7182,-11776,-1931
1652019178.889942,281,-356,-173,16405,-1005,-1133,-7155,-11771,-1893
1652019178.958726,-808,-554,-31,16128,-706,-1375,-7159,-11742,-1915
1652019179.027506,-164,-268,-43,16364,-1204,-1056,-7149,-11790,-1895
